Agent 0 positions over time:
  Step 89: x=-0.548, y=1.418, g_x=-0.919, g_y=1.625
  Step 90: x=-0.571, y=1.429, g_x=-0.919, g_y=1.625
  Step 91: x=-0.593, y=1.439, g_x=-0.919, g_y=1.625
  Step 92: x=-0.614, y=1.449, g_x=-0.919, g_y=1.625
  Step 93: x=-0.634, y=1.459, g_x=-0.919, g_y=1.625
  Step 94: x=-0.654, y=1.468, g_x=-0.919, g_y=1.625
  Step 95: x=-0.672, y=1.477, g_x=-0.919, g_y=1.625
  Step 96: x=-0.690, y=1.486, g_x=-0.919, g_y=1.625
  Step 97: x=-0.706, y=1.494, g_x=-0.919, g_y=1.625
  Step 98: x=-0.722, y=1.502, g_x=-0.919, g_y=1.625
  Step 99: x=-0.737, y=1.510, g_x=-0.919, g_y=1.625
  Step 100: x=-0.752, y=1.517, g_x=-0.919, g_y=1.625
  Step 101: x=-0.765, y=1.524, g_x=-0.919, g_y=1.625
  Step 102: x=-0.778, y=1.531, g_x=-0.919, g_y=1.625
  Step 103: x=-0.790, y=1.537, g_x=-0.919, g_y=1.625
  Step 104: x=-0.801, y=1.543, g_x=-0.919, g_y=1.625
  Step 105: x=-0.812, y=1.549, g_x=-0.919, g_y=1.625
  Step 106: x=-0.822, y=1.555, g_x=-0.919, g_y=1.625
  Step 107: x=-0.832, y=1.561, g_x=-0.919, g_y=1.625
  Step 108: x=-0.841, y=1.566, g_x=-0.919, g_y=1.625
  Step 109: x=-0.849, y=1.571, g_x=-0.919, g_y=1.625
  Step 110: x=-0.857, y=1.576, g_x=-0.919, g_y=1.625
  Step 111: x=-0.865, y=1.581, g_x=-0.919, g_y=1.625
  Step 112: x=-0.872, y=1.585, g_x=-0.919, g_y=1.625
  Step 113: x=-0.878, y=1.589, g_x=-0.919, g_y=1.625
  Step 114: x=-0.885, y=1.593, g_x=-0.919, g_y=1.625
  Step 115: x=-0.890, y=1.597, g_x=-0.919, g_y=1.625
  Step 116: x=-0.896, y=1.601, g_x=-0.659, g_y=0.546
  Step 117: x=-0.900, y=1.597, g_x=-0.659, g_y=0.546
  Step 118: x=-0.902, y=1.584, g_x=-0.659, g_y=0.546
  Step 119: x=-0.902, y=1.566, g_x=-0.659, g_y=0.546
  Step 120: x=-0.900, y=1.543, g_x=-0.659, g_y=0.546
  Step 121: x=-0.897, y=1.517, g_x=-0.659, g_y=0.546
  Step 122: x=-0.892, y=1.489, g_x=-0.659, g_y=0.546
  Step 123: x=-0.885, y=1.460, g_x=-0.659, g_y=0.546
  Step 124: x=-0.878, y=1.429, g_x=-0.659, g_y=0.546
  Step 125: x=-0.870, y=1.398, g_x=-0.659, g_y=0.546
  Step 126: x=-0.862, y=1.367, g_x=-0.659, g_y=0.546
  Step 127: x=-0.853, y=1.336, g_x=-0.659, g_y=0.546
  Step 128: x=-0.845, y=1.305, g_x=-0.659, g_y=0.546
  Step 129: x=-0.836, y=1.275, g_x=-0.659, g_y=0.546
  Step 130: x=-0.827, y=1.244, g_x=-0.659, g_y=0.546
  Step 131: x=-0.818, y=1.215, g_x=-0.659, g_y=0.546
  Step 132: x=-0.810, y=1.186, g_x=-0.659, g_y=0.546
  Step 133: x=-0.801, y=1.158, g_x=-0.659, g_y=0.546
  Step 134: x=-0.793, y=1.131, g_x=-0.659, g_y=0.546
  Step 135: x=-0.785, y=1.104, g_x=-0.659, g_y=0.546
  Step 136: x=-0.777, y=1.078, g_x=-0.659, g_y=0.546
  Step 137: x=-0.770, y=1.054, g_x=-0.659, g_y=0.546
  Step 138: x=-0.763, y=1.030, g_x=-0.659, g_y=0.546
  Step 139: x=-0.756, y=1.007, g_x=-0.659, g_y=0.546
  Step 140: x=-0.749, y=0.985, g_x=-0.659, g_y=0.546
  Step 141: x=-0.743, y=0.963, g_x=-0.659, g_y=0.546
  Step 142: x=-0.737, y=0.943, g_x=-0.659, g_y=0.546
  Step 143: x=-0.732, y=0.923, g_x=-0.659, g_y=0.546
  Step 144: x=-0.726, y=0.905, g_x=-0.659, g_y=0.546
  Step 145: x=-0.721, y=0.887, g_x=-0.659, g_y=0.546
  Step 146: x=-0.717, y=0.870, g_x=-0.659, g_y=0.546
  Step 147: x=-0.712, y=0.853, g_x=-0.659, g_y=0.546
  Step 148: x=-0.708, y=0.838, g_x=-0.659, g_y=0.546
  Step 149: x=-0.704, y=0.823, g_x=-0.659, g_y=0.546
  Step 150: x=-0.701, y=0.809, g_x=-0.659, g_y=0.546
  Step 151: x=-0.697, y=0.796, g_x=-0.659, g_y=0.546
  Step 152: x=-0.694, y=0.783, g_x=-0.659, g_y=0.546
  Step 153: x=-0.691, y=0.771, g_x=-0.659, g_y=0.546
  Step 154: x=-0.689, y=0.759, g_x=-0.659, g_y=0.546
  Step 155: x=-0.686, y=0.748, g_x=-0.659, g_y=0.546
  Step 156: x=-0.684, y=0.738, g_x=-0.659, g_y=0.546
  Step 157: x=-0.682, y=0.728, g_x=-0.659, g_y=0.546
  Step 158: x=-0.680, y=0.719, g_x=-0.659, g_y=0.546
  Step 159: x=-0.678, y=0.710, g_x=-0.659, g_y=0.546
  Step 160: x=-0.676, y=0.701, g_x=-0.659, g_y=0.546
  Step 161: x=-0.675, y=0.693, g_x=-0.659, g_y=0.546
  Step 162: x=-0.674, y=0.686, g_x=-0.659, g_y=0.546
  Step 163: x=-0.672, y=0.679, g_x=-0.659, g_y=0.546
  Step 164: x=-0.671, y=0.672, g_x=-0.659, g_y=0.546
  Step 165: x=-0.670, y=0.665, g_x=-0.659, g_y=0.546
  Step 166: x=-0.669, y=0.659, g_x=-0.659, g_y=0.546
  Step 167: x=-0.668, y=0.653, g_x=-0.659, g_y=0.546
  Step 168: x=-0.667, y=0.648, g_x=-0.659, g_y=0.546
  Step 169: x=-0.667, y=0.643, g_x=-0.659, g_y=0.546
  Step 170: x=-0.666, y=0.638, g_x=-0.659, g_y=0.546
  Step 171: x=-0.665, y=0.633, g_x=-0.659, g_y=0.546
  Step 172: x=-0.665, y=0.629, g_x=-0.659, g_y=0.546
  Step 173: x=-0.664, y=0.624, g_x=-0.659, g_y=0.546
  Step 174: x=-0.664, y=0.620, g_x=-0.659, g_y=0.546
  Step 175: x=-0.664, y=0.617, g_x=-0.659, g_y=0.546
  Step 176: x=-0.663, y=0.613, g_x=-0.659, g_y=0.546
  Step 177: x=-0.663, y=0.610, g_x=-0.659, g_y=0.546
  Step 178: x=-0.663, y=0.606, g_x=-0.659, g_y=0.546
  Step 179: x=-0.662, y=0.603, g_x=-0.659, g_y=0.546
  Step 180: x=-0.662, y=0.601, g_x=-0.659, g_y=0.546
  Step 181: x=-0.662, y=0.598, g_x=-0.659, g_y=0.546
  Step 182: x=-0.662, y=0.595, g_x=-0.659, g_y=0.546
  Step 183: x=-0.662, y=0.593, g_x=-0.659, g_y=0.546
  Step 184: x=-0.662, y=0.591, g_x=-0.659, g_y=0.546
  Step 185: x=-0.661, y=0.588, g_x=0.200, g_y=0.200
  Step 186: x=-0.654, y=0.581, g_x=0.200, g_y=0.200
  Step 187: x=-0.640, y=0.571, g_x=0.200, g_y=0.200
  Step 188: x=-0.621, y=0.558, g_x=0.200, g_y=0.200
