n_targets,n_agents,time,targets_per_agent,locations
100,4,0.18351149559020996,"[29, 21, 19, 31]","[(99, 25), (83, 165), (89, 26), (131, 193), (60, 182), (98, 199), (156, 54), (109, 41), (123, 42), (144, 27), (108, 53), (1, 94), (116, 134), (130, 136), (184, 166), (13, 12), (114, 75), (4, 191), (61, 21), (195, 119), (107, 32), (5, 31), (112, 72), (115, 152), (176, 9), (12, 1), (26, 142), (94, 146), (44, 88), (169, 173), (12, 175), (97, 59), (121, 171), (79, 194), (163, 187), (148, 113), (12, 95), (110, 136), (189, 77), (29, 45), (161, 105), (148, 182), (48, 74), (146, 177), (156, 194), (38, 57), (179, 100), (125, 79), (85, 190), (135, 64), (42, 111), (121, 32), (170, 136), (0, 139), (11, 148), (131, 117), (83, 183), (21, 98), (117, 86), (155, 176), (141, 26), (5, 76), (200, 160), (194, 192), (79, 20), (185, 127), (8, 176), (179, 191), (167, 174), (167, 119), (159, 73), (0, 133), (125, 21), (112, 73), (168, 95), (90, 149), (37, 82), (124, 154), (63, 52), (78, 113), (164, 26), (194, 189), (64, 127), (71, 43), (155, 199), (147, 94), (108, 62), (11, 155), (188, 144), (52, 118), (17, 110), (101, 139), (151, 157), (170, 125), (180, 10), (21, 191), (75, 172), (198, 48), (99, 181), (109, 86), (198, 126), (128, 38), (190, 66), (199, 162), (152, 104), (166, 188), (60, 31), (15, 78)]"
100,4,0.13869500160217285,"[31, 32, 21, 16]","[(174, 121), (42, 22), (97, 69), (109, 166), (110, 138), (78, 190), (141, 116), (6, 1), (183, 127), (187, 44), (162, 87), (19, 77), (81, 25), (47, 61), (38, 160), (143, 117), (198, 116), (94, 151), (64, 180), (125, 190), (200, 108), (162, 174), (1, 67), (55, 13), (160, 86), (176, 130), (41, 174), (82, 34), (133, 37), (141, 140), (166, 163), (168, 169), (198, 41), (180, 168), (190, 8), (63, 128), (90, 28), (196, 0), (99, 77), (35, 142), (163, 136), (36, 169), (118, 159), (74, 0), (136, 151), (165, 86), (130, 45), (18, 167), (3, 8), (178, 174), (114, 48), (1, 93), (199, 136), (188, 117), (11, 71), (16, 166), (23, 69), (123, 50), (108, 89), (175, 160), (114, 148), (0, 11), (151, 96), (168, 120), (190, 64), (29, 182), (59, 103), (196, 113), (125, 122), (72, 98), (45, 41), (92, 80), (68, 24), (117, 167), (16, 92), (72, 73), (104, 69), (51, 191), (177, 47), (8, 13), (198, 24), (95, 90), (31, 199), (61, 56), (166, 198), (69, 24), (161, 103), (120, 74), (36, 174), (56, 27), (15, 33), (111, 176), (42, 110), (125, 126), (159, 165), (161, 196), (125, 123), (146, 60), (182, 30), (190, 126), (110, 99), (92, 63), (46, 20), (47, 157), (45, 171), (89, 42), (21, 100), (87, 47)]"
100,4,0.12089014053344727,"[20, 24, 35, 21]","[(32, 159), (32, 115), (142, 37), (140, 166), (139, 45), (104, 47), (148, 170), (13, 37), (79, 111), (94, 59), (97, 7), (16, 123), (83, 186), (78, 198), (66, 166), (103, 94), (122, 16), (127, 170), (176, 189), (154, 117), (111, 85), (79, 7), (173, 23), (175, 126), (99, 41), (38, 36), (65, 106), (171, 77), (100, 89), (6, 196), (133, 178), (14, 80), (81, 61), (185, 123), (56, 89), (29, 157), (153, 63), (131, 139), (42, 87), (65, 33), (197, 130), (95, 91), (198, 73), (190, 187), (55, 73), (93, 46), (37, 10), (117, 186), (114, 72), (72, 136), (47, 96), (139, 101), (6, 102), (85, 46), (171, 77), (84, 11), (92, 157), (150, 49), (36, 197), (88, 85), (69, 131), (156, 155), (131, 28), (81, 195), (119, 92), (8, 79), (10, 123), (120, 154), (90, 20), (194, 34), (160, 92), (180, 84), (55, 8), (81, 8), (192, 101), (88, 21), (29, 124), (13, 134), (64, 186), (12, 124), (9, 64), (147, 12), (7, 187), (135, 74), (123, 10), (109, 97), (187, 138), (25, 30), (186, 50), (98, 161), (107, 37), (31, 22), (119, 70), (25, 59), (64, 154), (0, 179), (36, 187), (134, 65), (37, 125), (67, 197), (29, 157), (25, 117), (36, 174), (148, 64), (163, 107), (15, 76), (26, 50), (151, 126)]"
100,4,0.13495969772338867,"[23, 26, 22, 29]","[(133, 81), (153, 136), (67, 19), (176, 114), (174, 5), (88, 80), (182, 43), (72, 78), (55, 98), (152, 110), (103, 115), (143, 12), (34, 28), (41, 112), (32, 128), (67, 127), (43, 71), (114, 61), (182, 43), (69, 45), (161, 175), (121, 45), (177, 27), (42, 82), (157, 157), (129, 108), (16, 107), (84, 92), (141, 183), (17, 184), (144, 167), (31, 132), (68, 130), (156, 9), (21, 142), (94, 34), (139, 180), (8, 15), (116, 200), (25, 62), (36, 65), (102, 174), (158, 83), (40, 176), (55, 101), (52, 51), (24, 68), (90, 131), (134, 175), (174, 3), (148, 156), (33, 41), (124, 166), (115, 170), (55, 138), (5, 188), (184, 80), (112, 174), (186, 151), (7, 83), (16, 180), (129, 7), (190, 68), (87, 103), (76, 155), (194, 159), (17, 97), (78, 142), (106, 16), (77, 124), (48, 50), (116, 175), (101, 44), (73, 147), (150, 61), (0, 84), (199, 65), (123, 12), (50, 179), (14, 140), (127, 91), (1, 183), (113, 158), (156, 159), (97, 172), (120, 29), (171, 112), (166, 143), (33, 99), (62, 198), (82, 53), (136, 87), (75, 102), (109, 31), (106, 90), (80, 123), (81, 104), (109, 193), (19, 105), (46, 119), (183, 169), (27, 141), (65, 174), (89, 52), (19, 40), (109, 151), (163, 150), (86, 121)]"
100,4,0.15223217010498047,"[23, 27, 27, 23]","[(83, 116), (197, 148), (96, 153), (68, 161), (146, 17), (142, 5), (175, 31), (99, 6), (3, 83), (141, 36), (105, 161), (68, 178), (64, 11), (1, 121), (143, 31), (97, 17), (193, 197), (187, 43), (56, 28), (97, 19), (121, 143), (122, 9), (77, 162), (73, 109), (155, 2), (145, 142), (168, 179), (52, 118), (127, 41), (106, 181), (64, 86), (30, 53), (167, 134), (184, 75), (104, 75), (184, 181), (196, 34), (161, 121), (94, 166), (17, 121), (134, 5), (43, 36), (125, 43), (122, 139), (187, 35), (74, 149), (184, 37), (170, 136), (43, 82), (120, 18), (72, 70), (123, 124), (126, 72), (165, 171), (67, 83), (52, 133), (50, 126), (91, 149), (138, 3), (87, 171), (132, 132), (70, 67), (177, 89), (159, 198), (18, 160), (72, 130), (6, 78), (176, 159), (14, 165), (91, 104), (94, 55), (138, 131), (138, 147), (177, 192), (40, 95), (150, 133), (148, 75), (189, 2), (181, 105), (110, 47), (85, 174), (176, 0), (27, 38), (51, 31), (144, 181), (111, 149), (148, 168), (97, 188), (8, 41), (199, 90), (43, 195), (71, 67), (61, 117), (54, 122), (15, 180), (115, 2), (188, 27), (108, 188), (33, 195), (6, 122), (16, 10), (126, 25), (132, 61), (126, 89), (175, 175), (147, 4), (86, 35), (45, 70)]"
200,7,0.43699002265930176,"[33, 22, 31, 28, 29, 35, 22]","[(361, 380), (32, 288), (392, 231), (302, 80), (349, 157), (66, 305), (350, 26), (385, 303), (165, 170), (91, 151), (77, 109), (3, 197), (105, 96), (282, 52), (128, 185), (112, 190), (226, 372), (116, 389), (312, 88), (5, 10), (186, 134), (23, 79), (87, 302), (55, 261), (389, 96), (157, 247), (343, 32), (54, 351), (306, 380), (202, 11), (165, 136), (167, 108), (352, 47), (298, 322), (46, 290), (34, 244), (81, 307), (18, 383), (279, 77), (118, 241), (315, 134), (154, 229), (19, 135), (18, 43), (277, 344), (16, 353), (78, 274), (183, 279), (177, 188), (59, 265), (204, 60), (17, 128), (132, 69), (167, 283), (218, 45), (213, 22), (265, 18), (323, 199), (283, 254), (229, 319), (76, 284), (345, 199), (373, 400), (65, 286), (246, 97), (236, 1), (51, 34), (40, 360), (160, 35), (120, 190), (298, 141), (306, 95), (91, 333), (246, 384), (334, 66), (340, 317), (281, 44), (68, 381), (98, 155), (187, 330), (226, 119), (227, 308), (105, 378), (102, 296), (150, 86), (74, 322), (314, 53), (23, 160), (265, 340), (208, 62), (304, 33), (362, 396), (151, 50), (64, 130), (103, 240), (60, 9), (283, 353), (176, 313), (52, 221), (147, 80), (32, 119), (333, 67), (284, 181), (58, 263), (235, 264), (152, 272), (378, 136), (332, 249), (180, 293), (323, 354), (4, 97), (333, 331), (263, 333), (347, 251), (261, 169), (105, 76), (391, 77), (205, 251), (177, 213), (264, 269), (384, 271), (224, 352), (154, 129), (217, 366), (118, 174), (56, 193), (63, 382), (218, 293), (363, 249), (202, 52), (311, 266), (110, 40), (344, 18), (337, 226), (38, 35), (15, 243), (263, 133), (354, 317), (289, 2), (51, 239), (82, 31), (313, 360), (374, 356), (197, 39), (299, 162), (109, 385), (99, 310), (77, 356), (198, 248), (39, 66), (362, 173), (208, 375), (275, 226), (16, 384), (203, 234), (8, 347), (80, 235), (348, 133), (295, 315), (261, 158), (21, 314), (215, 116), (117, 356), (291, 378), (22, 147), (372, 293), (165, 103), (349, 236), (251, 362), (102, 211), (289, 287), (76, 303), (294, 320), (146, 265), (357, 101), (235, 185), (185, 124), (171, 85), (144, 173), (77, 144), (389, 82), (119, 164), (246, 309), (284, 243), (297, 145), (296, 183), (231, 213), (141, 56), (198, 53), (63, 298), (310, 53), (249, 31), (286, 187), (94, 205), (388, 277), (73, 89), (346, 121), (265, 281), (390, 387), (229, 117), (379, 50), (337, 274), (80, 232), (61, 258), (38, 298), (371, 82), (167, 190), (332, 177), (311, 142), (186, 207), (238, 145), (70, 119), (337, 1), (354, 187)]"
200,7,0.44263482093811035,"[35, 30, 21, 41, 30, 21, 22]","[(296, 303), (370, 304), (106, 30), (178, 345), (180, 102), (179, 38), (159, 116), (187, 42), (45, 19), (336, 344), (374, 366), (22, 268), (327, 159), (182, 373), (386, 35), (132, 52), (240, 134), (220, 12), (60, 323), (393, 255), (62, 58), (106, 246), (244, 277), (142, 307), (95, 112), (60, 293), (307, 375), (78, 26), (21, 185), (343, 4), (33, 313), (152, 177), (221, 286), (82, 87), (230, 259), (387, 78), (90, 32), (99, 71), (176, 242), (341, 8), (29, 104), (256, 286), (285, 341), (63, 290), (240, 45), (223, 28), (280, 65), (22, 343), (295, 42), (395, 185), (274, 170), (175, 238), (256, 23), (109, 382), (165, 377), (321, 185), (121, 309), (179, 366), (285, 320), (14, 117), (74, 38), (283, 107), (162, 32), (13, 199), (144, 62), (91, 169), (342, 328), (130, 145), (66, 248), (91, 293), (9, 52), (331, 0), (57, 26), (202, 261), (24, 32), (355, 292), (160, 53), (212, 372), (305, 169), (322, 253), (373, 329), (263, 85), (109, 135), (221, 259), (383, 253), (301, 239), (330, 120), (89, 155), (41, 4), (328, 266), (2, 220), (202, 17), (334, 121), (119, 292), (230, 309), (254, 312), (114, 91), (127, 264), (198, 236), (368, 154), (273, 276), (174, 396), (263, 371), (189, 203), (96, 44), (35, 29), (341, 279), (69, 271), (47, 162), (49, 217), (77, 354), (117, 259), (49, 274), (240, 170), (72, 163), (220, 282), (176, 141), (268, 347), (154, 218), (127, 273), (236, 228), (262, 239), (367, 86), (347, 144), (18, 192), (377, 62), (330, 186), (158, 48), (182, 342), (385, 3), (300, 193), (91, 174), (140, 279), (177, 33), (209, 23), (163, 292), (395, 396), (188, 67), (123, 283), (208, 63), (283, 113), (107, 388), (96, 118), (25, 384), (177, 43), (253, 120), (364, 123), (168, 240), (382, 70), (347, 342), (142, 160), (389, 323), (2, 351), (241, 211), (92, 199), (221, 168), (83, 147), (212, 390), (265, 101), (262, 350), (377, 164), (71, 20), (55, 337), (77, 340), (77, 352), (79, 371), (166, 288), (190, 225), (177, 373), (212, 242), (12, 54), (76, 190), (283, 349), (165, 33), (95, 297), (225, 288), (295, 388), (364, 396), (257, 181), (126, 303), (11, 5), (186, 63), (320, 217), (59, 261), (41, 371), (128, 377), (184, 237), (67, 20), (311, 1), (352, 342), (45, 87), (68, 29), (77, 115), (240, 374), (70, 83), (354, 395), (255, 342), (39, 300), (222, 294), (309, 369), (291, 341), (93, 371), (222, 10), (398, 34), (283, 226), (216, 293), (240, 236), (170, 130), (196, 183), (266, 241), (159, 41), (285, 321), (290, 161), (25, 205)]"
200,7,0.6156761646270752,"[31, 42, 32, 20, 32, 23, 20]","[(182, 272), (39, 35), (366, 30), (266, 170), (340, 17), (169, 73), (41, 46), (247, 270), (347, 160), (34, 345), (216, 160), (199, 94), (75, 124), (230, 222), (95, 54), (36, 163), (134, 275), (215, 127), (204, 213), (107, 294), (221, 5), (238, 173), (27, 280), (181, 318), (293, 118), (310, 184), (346, 107), (324, 11), (12, 330), (339, 277), (57, 266), (23, 30), (89, 77), (86, 105), (144, 298), (6, 26), (234, 308), (181, 35), (36, 18), (176, 300), (389, 7), (120, 199), (282, 88), (268, 329), (155, 235), (295, 166), (313, 121), (262, 245), (397, 91), (331, 233), (86, 258), (175, 7), (218, 48), (180, 185), (334, 283), (142, 301), (184, 339), (63, 237), (221, 226), (146, 363), (326, 202), (281, 80), (363, 101), (169, 312), (337, 194), (289, 210), (61, 196), (111, 236), (36, 190), (298, 228), (88, 18), (295, 277), (394, 399), (321, 290), (292, 196), (207, 299), (291, 99), (70, 288), (104, 308), (165, 156), (325, 191), (287, 0), (70, 387), (175, 83), (258, 276), (382, 260), (56, 95), (19, 104), (254, 50), (71, 364), (149, 20), (30, 227), (103, 93), (128, 205), (378, 241), (237, 141), (240, 115), (360, 175), (273, 200), (191, 85), (158, 60), (278, 278), (287, 211), (332, 194), (313, 369), (81, 395), (248, 129), (155, 383), (120, 240), (215, 57), (200, 51), (126, 366), (120, 344), (119, 38), (134, 246), (103, 330), (391, 80), (188, 299), (76, 17), (192, 363), (28, 38), (170, 214), (48, 241), (20, 238), (38, 179), (69, 366), (296, 85), (370, 301), (105, 362), (169, 326), (201, 7), (146, 306), (63, 129), (225, 302), (104, 97), (148, 70), (118, 295), (138, 116), (50, 360), (227, 227), (46, 365), (48, 91), (126, 391), (53, 128), (389, 382), (97, 341), (145, 226), (170, 265), (137, 218), (202, 191), (206, 156), (337, 336), (220, 395), (258, 130), (395, 118), (145, 75), (211, 120), (377, 187), (107, 123), (150, 117), (3, 15), (6, 71), (200, 347), (80, 60), (252, 363), (350, 337), (52, 75), (206, 209), (134, 20), (119, 344), (7, 391), (58, 322), (327, 66), (308, 62), (336, 367), (340, 224), (259, 334), (117, 277), (204, 400), (136, 222), (95, 262), (275, 79), (119, 43), (191, 273), (3, 396), (310, 75), (271, 30), (19, 2), (311, 40), (214, 191), (158, 250), (147, 141), (303, 266), (128, 122), (63, 77), (122, 132), (31, 53), (62, 363), (1, 155), (361, 368), (332, 144), (51, 323), (23, 356), (81, 233), (122, 79), (303, 213), (141, 172), (10, 80), (240, 81), (197, 192), (125, 139), (68, 234), (334, 272), (259, 352)]"
200,7,0.30787038803100586,"[25, 31, 26, 40, 23, 33, 22]","[(344, 354), (194, 191), (295, 350), (147, 118), (91, 251), (285, 160), (106, 141), (368, 352), (6, 325), (257, 305), (258, 224), (130, 195), (285, 209), (146, 214), (54, 105), (85, 212), (116, 5), (52, 79), (290, 196), (233, 90), (114, 258), (273, 150), (250, 139), (285, 222), (46, 356), (207, 158), (22, 126), (114, 100), (41, 347), (204, 340), (330, 132), (83, 121), (206, 106), (330, 354), (288, 17), (58, 316), (234, 163), (28, 206), (385, 328), (140, 327), (266, 108), (278, 293), (200, 264), (205, 334), (79, 92), (216, 104), (18, 32), (290, 82), (3, 295), (147, 166), (134, 313), (274, 311), (77, 374), (207, 324), (228, 85), (157, 216), (189, 21), (287, 396), (33, 266), (291, 84), (166, 62), (44, 21), (160, 104), (65, 123), (280, 32), (321, 400), (340, 28), (120, 62), (156, 366), (210, 18), (266, 252), (227, 283), (270, 351), (261, 387), (97, 133), (96, 386), (361, 320), (216, 3), (359, 158), (258, 275), (221, 259), (379, 15), (273, 154), (94, 388), (221, 222), (71, 177), (198, 154), (112, 219), (249, 140), (219, 199), (73, 248), (296, 209), (188, 35), (22, 104), (335, 90), (150, 2), (324, 123), (313, 358), (315, 307), (241, 48), (167, 318), (277, 373), (315, 62), (124, 260), (143, 202), (236, 117), (347, 11), (275, 158), (236, 352), (368, 151), (314, 254), (178, 139), (376, 371), (132, 74), (310, 62), (320, 57), (332, 236), (344, 358), (121, 89), (56, 358), (27, 369), (350, 100), (38, 54), (100, 192), (160, 358), (148, 100), (238, 223), (243, 35), (372, 14), (295, 142), (308, 165), (277, 7), (103, 311), (20, 76), (115, 48), (246, 167), (196, 20), (117, 106), (377, 30), (251, 312), (152, 6), (65, 157), (175, 46), (353, 97), (60, 69), (88, 290), (388, 251), (332, 129), (152, 86), (3, 54), (237, 259), (114, 126), (240, 285), (229, 362), (265, 202), (354, 259), (121, 347), (241, 269), (75, 366), (333, 265), (77, 135), (347, 44), (144, 379), (174, 143), (377, 166), (359, 222), (345, 211), (380, 51), (390, 296), (7, 28), (98, 40), (263, 145), (196, 51), (6, 347), (119, 48), (60, 228), (245, 71), (309, 23), (45, 88), (25, 344), (251, 247), (128, 315), (112, 201), (191, 379), (169, 271), (128, 127), (15, 269), (17, 334), (334, 112), (184, 322), (138, 114), (399, 64), (392, 24), (86, 324), (245, 75), (387, 50), (371, 171), (174, 70), (64, 175), (91, 146), (11, 245), (335, 342), (254, 172), (301, 265), (39, 365), (242, 187), (77, 359), (230, 256), (87, 96), (64, 78), (59, 59), (61, 292), (29, 53), (343, 126)]"
200,7,0.39066386222839355,"[34, 24, 24, 35, 21, 36, 26]","[(168, 219), (43, 97), (399, 132), (153, 52), (296, 247), (271, 22), (326, 11), (5, 315), (112, 111), (19, 396), (236, 319), (59, 143), (303, 284), (171, 107), (4, 102), (277, 334), (210, 202), (277, 160), (105, 370), (82, 63), (362, 148), (178, 248), (29, 371), (73, 271), (156, 132), (398, 11), (279, 289), (218, 82), (170, 333), (349, 282), (148, 138), (138, 304), (123, 46), (317, 23), (162, 135), (250, 303), (136, 214), (203, 38), (134, 363), (257, 281), (175, 219), (290, 391), (116, 391), (20, 310), (253, 109), (301, 280), (253, 36), (171, 239), (143, 34), (285, 30), (238, 385), (1, 99), (24, 250), (87, 283), (231, 324), (308, 93), (242, 218), (91, 164), (53, 173), (184, 400), (376, 33), (364, 267), (4, 291), (77, 121), (6, 98), (224, 147), (265, 52), (314, 149), (180, 383), (32, 267), (126, 49), (290, 144), (136, 123), (349, 224), (275, 98), (285, 270), (329, 340), (304, 84), (99, 277), (215, 75), (167, 87), (271, 119), (18, 181), (112, 355), (105, 353), (163, 154), (175, 244), (5, 121), (56, 255), (233, 62), (123, 306), (71, 391), (287, 175), (384, 164), (156, 220), (17, 117), (390, 372), (112, 255), (201, 36), (358, 297), (62, 183), (174, 296), (153, 141), (112, 346), (106, 1), (133, 143), (314, 39), (170, 230), (396, 355), (376, 131), (27, 216), (190, 334), (143, 350), (387, 43), (95, 24), (304, 40), (374, 267), (364, 14), (296, 9), (145, 38), (16, 46), (27, 397), (188, 341), (302, 2), (209, 355), (294, 179), (10, 297), (218, 3), (338, 128), (1, 165), (25, 337), (356, 373), (374, 171), (228, 28), (249, 363), (249, 347), (240, 17), (22, 142), (242, 374), (20, 242), (38, 225), (336, 361), (57, 177), (285, 261), (300, 146), (19, 109), (203, 155), (336, 60), (253, 123), (346, 56), (300, 375), (104, 111), (225, 272), (357, 377), (17, 368), (97, 62), (334, 1), (137, 119), (205, 251), (329, 74), (28, 297), (352, 251), (92, 121), (335, 268), (92, 303), (398, 137), (195, 263), (25, 158), (211, 74), (259, 99), (118, 276), (99, 36), (20, 339), (207, 123), (319, 384), (177, 345), (321, 216), (137, 83), (92, 108), (113, 321), (168, 290), (20, 52), (180, 73), (242, 281), (70, 325), (187, 54), (75, 194), (375, 287), (39, 350), (236, 348), (66, 143), (183, 66), (377, 169), (150, 3), (375, 116), (186, 167), (281, 168), (197, 148), (11, 261), (7, 286), (201, 295), (385, 195), (340, 111), (347, 216), (32, 198), (156, 1), (163, 202), (179, 399), (264, 82), (93, 331), (385, 218), (264, 172), (187, 348), (101, 327)]"
