n_targets,n_agents,time,targets_per_agent
135,5,0.3501276969909668,"[14, 30, 42, 23, 26]"
135,5,0.16771745681762695,"[34, 23, 23, 34, 21]"
140,5,0.21598196029663086,"[28, 38, 19, 25, 30]"
140,5,0.2312476634979248,"[36, 26, 27, 25, 26]"
140,5,0.24910902976989746,"[27, 32, 32, 28, 21]"
140,5,0.2172098159790039,"[33, 20, 30, 30, 27]"
140,5,0.2567005157470703,"[29, 26, 21, 27, 37]"
145,5,0.3667724132537842,"[38, 15, 35, 26, 31]"
145,5,0.2226245403289795,"[23, 35, 29, 32, 26]"
145,5,0.2519392967224121,"[33, 32, 22, 24, 34]"
145,5,0.2672696113586426,"[27, 34, 27, 28, 29]"
145,5,0.2451622486114502,"[30, 39, 24, 31, 21]"
150,5,0.3230166435241699,"[25, 26, 30, 45, 24]"
150,5,0.3648829460144043,"[34, 32, 33, 20, 31]"
150,5,0.31447625160217285,"[39, 36, 23, 22, 30]"
150,5,0.2974836826324463,"[27, 28, 34, 18, 43]"
150,5,0.3357679843902588,"[27, 19, 35, 45, 24]"
155,6,0.21083426475524902,"[19, 34, 29, 22, 24, 27]"
155,6,0.21602702140808105,"[31, 23, 24, 22, 21, 34]"
155,6,0.22261834144592285,"[29, 24, 33, 18, 24, 27]"
155,6,0.31336355209350586,"[27, 25, 32, 21, 22, 28]"
155,6,0.21935367584228516,"[19, 25, 20, 20, 26, 45]"
160,6,0.2276134490966797,"[32, 28, 30, 20, 28, 22]"
160,6,0.2600233554840088,"[23, 30, 35, 28, 20, 24]"
160,6,0.34583401679992676,"[23, 16, 19, 39, 27, 36]"
160,6,0.311431884765625,"[29, 22, 27, 22, 37, 23]"
160,6,0.22927021980285645,"[28, 29, 28, 22, 26, 27]"
165,6,0.2302560806274414,"[27, 31, 24, 31, 21, 31]"
165,6,0.2313399314880371,"[36, 21, 28, 22, 26, 32]"
165,6,0.3424663543701172,"[14, 51, 24, 24, 27, 25]"
165,6,0.24908113479614258,"[17, 40, 27, 29, 29, 23]"
165,6,0.2922966480255127,"[18, 33, 18, 33, 30, 33]"
170,6,0.42884135246276855,"[26, 24, 22, 28, 46, 24]"
170,6,0.3342914581298828,"[30, 30, 35, 26, 23, 26]"
170,6,0.3087592124938965,"[29, 28, 30, 17, 29, 37]"
170,6,0.25353097915649414,"[28, 16, 29, 31, 29, 37]"
170,6,0.3257782459259033,"[32, 29, 39, 28, 18, 24]"
175,6,0.4853076934814453,"[39, 29, 29, 27, 32, 19]"
175,6,0.2262861728668213,"[29, 26, 29, 22, 37, 32]"
175,6,0.3655083179473877,"[28, 35, 37, 26, 25, 24]"
175,6,0.3063232898712158,"[35, 31, 30, 22, 23, 34]"
175,6,0.3803286552429199,"[35, 38, 21, 29, 20, 32]"
180,6,0.4993877410888672,"[40, 25, 36, 28, 30, 21]"
180,6,0.4172022342681885,"[20, 25, 49, 27, 39, 20]"
180,6,0.3429837226867676,"[29, 32, 23, 37, 25, 34]"
180,6,0.43865299224853516,"[24, 27, 31, 29, 29, 40]"
180,6,0.32092714309692383,"[31, 24, 36, 30, 26, 33]"
185,7,0.3232884407043457,"[19, 21, 31, 26, 30, 27, 31]"
185,7,0.2447354793548584,"[30, 27, 28, 29, 25, 24, 22]"
185,7,0.4219357967376709,"[16, 36, 28, 28, 25, 18, 34]"
185,7,0.31873440742492676,"[23, 27, 24, 27, 24, 34, 26]"
185,7,0.30597567558288574,"[31, 30, 27, 27, 23, 22, 25]"
190,7,0.29305553436279297,"[27, 20, 24, 29, 28, 28, 34]"
