n_targets,n_agents,clust_time,tsp_time,all_time
50,2,0.00148773193359375,0.0041103363037109375,0.0055980682373046875
50,2,0.001439809799194336,0.0010576248168945312,0.002497434616088867
50,2,0.0012135505676269531,0.0009584426879882812,0.0021719932556152344
50,2,0.0011990070343017578,0.0009288787841796875,0.0021278858184814453
50,2,0.0013682842254638672,0.0009748935699462891,0.0023431777954101562
50,2,0.0010230541229248047,0.0009434223175048828,0.0019664764404296875
50,2,0.0009622573852539062,0.0008990764617919922,0.0018613338470458984
50,2,0.0005910396575927734,0.0009007453918457031,0.0014917850494384766
50,2,0.0006177425384521484,0.0008654594421386719,0.0014832019805908203
50,2,0.0005996227264404297,0.00086212158203125,0.0014617443084716797
50,2,0.0008323192596435547,0.0008497238159179688,0.0016820430755615234
50,2,0.0007336139678955078,0.0010378360748291016,0.0017714500427246094
50,2,0.0009241104125976562,0.0008444786071777344,0.0017685890197753906
50,2,0.0008094310760498047,0.0008101463317871094,0.001619577407836914
50,2,0.0006308555603027344,0.0008039474487304688,0.0014348030090332031
50,2,0.0006089210510253906,0.0008385181427001953,0.001447439193725586
50,2,0.0006148815155029297,0.0008525848388671875,0.0014674663543701172
50,2,0.00067138671875,0.0008075237274169922,0.0014789104461669922
50,2,0.0006706714630126953,0.0007882118225097656,0.001458883285522461
50,2,0.0007948875427246094,0.0007932186126708984,0.0015881061553955078
100,4,0.000713348388671875,0.001504659652709961,0.002218008041381836
100,4,0.0007379055023193359,0.001661062240600586,0.002398967742919922
100,4,0.0007092952728271484,0.001676797866821289,0.0023860931396484375
100,4,0.0006630420684814453,0.0016689300537109375,0.002331972122192383
100,4,0.0006787776947021484,0.0017070770263671875,0.002385854721069336
100,4,0.0007319450378417969,0.001756906509399414,0.002488851547241211
100,4,0.0007619857788085938,0.0017812252044677734,0.002543210983276367
100,4,0.0007536411285400391,0.0017380714416503906,0.0024917125701904297
100,4,0.00072479248046875,0.0016713142395019531,0.002396106719970703
100,4,0.0009038448333740234,0.0016727447509765625,0.002576589584350586
100,4,0.0008542537689208984,0.0017354488372802734,0.002589702606201172
100,4,0.0007939338684082031,0.002046346664428711,0.002840280532836914
100,4,0.0007910728454589844,0.001882791519165039,0.0026738643646240234
100,4,0.0008482933044433594,0.0017445087432861328,0.002592802047729492
100,4,0.000804901123046875,0.0017592906951904297,0.0025641918182373047
100,4,0.0009033679962158203,0.0017726421356201172,0.0026760101318359375
100,4,0.0009775161743164062,0.0017876625061035156,0.002765178680419922
100,4,0.0007882118225097656,0.0017406940460205078,0.0025289058685302734
100,4,0.0009217262268066406,0.0017952919006347656,0.0027170181274414062
100,4,0.0008957386016845703,0.0018336772918701172,0.0027294158935546875
150,5,0.0011610984802246094,0.0037755966186523438,0.004936695098876953
150,5,0.0017523765563964844,0.003226757049560547,0.004979133605957031
150,5,0.0011053085327148438,0.0024042129516601562,0.003509521484375
150,5,0.0012826919555664062,0.002191781997680664,0.0034744739532470703
150,5,0.0010542869567871094,0.0021126270294189453,0.0031669139862060547
150,5,0.0011360645294189453,0.0021512508392333984,0.0032873153686523438
150,5,0.001016378402709961,0.0023479461669921875,0.0033643245697021484
150,5,0.0013194084167480469,0.0023055076599121094,0.0036249160766601562
150,5,0.0011241436004638672,0.0034368038177490234,0.004560947418212891
150,5,0.0016393661499023438,0.0031425952911376953,0.004781961441040039
150,5,0.0012803077697753906,0.003036975860595703,0.004317283630371094
150,5,0.0013048648834228516,0.0028040409088134766,0.004108905792236328
150,5,0.0010600090026855469,0.002597808837890625,0.003657817840576172
150,5,0.0009691715240478516,0.0025358200073242188,0.0035049915313720703
150,5,0.0010633468627929688,0.0024251937866210938,0.0034885406494140625
150,5,0.001010894775390625,0.002552032470703125,0.00356292724609375
150,5,0.0011451244354248047,0.005032062530517578,0.006177186965942383
150,5,0.0019485950469970703,0.004845619201660156,0.0067942142486572266
150,5,0.0019109249114990234,0.004531145095825195,0.006442070007324219
150,5,0.0017521381378173828,0.004576921463012695,0.006329059600830078
200,7,0.0022842884063720703,0.006329774856567383,0.008614063262939453
200,7,0.001604318618774414,0.003096342086791992,0.004700660705566406
200,7,0.0013577938079833984,0.002985239028930664,0.0043430328369140625
200,7,0.0012736320495605469,0.0029976367950439453,0.004271268844604492
200,7,0.0012667179107666016,0.0029175281524658203,0.004184246063232422
200,7,0.001100778579711914,0.0028345584869384766,0.003935337066650391
200,7,0.0012629032135009766,0.0030045509338378906,0.004267454147338867
200,7,0.0013892650604248047,0.002943277359008789,0.004332542419433594
200,7,0.0011653900146484375,0.002908945083618164,0.0040743350982666016
200,7,0.0012044906616210938,0.002993345260620117,0.004197835922241211
